Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01/01/2020,RELIANCE,EQ,1514.05,1518,1527.1,1505.5,1511.8,1509.6,1515.23,6402372,9.70106E+14,122265,1523290,0.2379
02/01/2020,RELIANCE,EQ,1509.6,1512,1540.95,1512,1534.1,1535.3,1530.86,8096561,1.23947E+15,151727,3386321,0.4182
03/01/2020,RELIANCE,EQ,1535.3,1533,1541.65,1523,1536,1537.15,1532.73,9593498,1.47043E+15,149003,5288843,0.5513
06/01/2020,RELIANCE,EQ,1537.15,1520,1527.9,1498,1499.9,1501.5,1512.57,11209343,1.69549E+15,225138,6398638,0.5708
07/01/2020,RELIANCE,EQ,1501.5,1519,1534.5,1513.5,1526.95,1524.6,1523.12,7627191,1.16171E+15,180713,3049916,0.3999
08/01/2020,RELIANCE,EQ,1524.6,1515,1534.45,1510,1514,1513.15,1518.24,7336561,1.11386E+15,169662,2863686,0.3903
09/01/2020,RELIANCE,EQ,1513.15,1538.6,1550,1531.25,1549.5,1548,1541.76,6849606,1.05604E+15,154953,2657056,0.3879
10/01/2020,RELIANCE,EQ,1548,1551.9,1557.95,1539.65,1546.85,1547.65,1549.42,5704686,8.83895E+14,136340,2546462,0.4464
13/01/2020,RELIANCE,EQ,1547.65,1545.05,1558.7,1538.4,1539.85,1543.7,1548.94,8358090,1.29461E+15,143022,5030540,0.6019
14/01/2020,RELIANCE,EQ,1543.7,1540,1550,1521.85,1529.1,1529.4,1533.76,7230788,1.10903E+15,173502,3796096,0.525
15/01/2020,RELIANCE,EQ,1529.4,1535.85,1539.9,1518.25,1524.1,1523.85,1526.75,7231393,1.10406E+15,212172,3990113,0.5518
16/01/2020,RELIANCE,EQ,1523.85,1529,1543.35,1528,1538.7,1537.9,1535.41,5873662,9.01851E+14,164724,2552659,0.4346
17/01/2020,RELIANCE,EQ,1537.9,1553.5,1584.95,1553.2,1581,1581,1573,13469708,2.11879E+15,279304,5551881,0.4122
20/01/2020,RELIANCE,EQ,1581,1609,1609,1526.4,1532.2,1532.35,1557.85,14878868,2.31791E+15,338270,5239886,0.3522
21/01/2020,RELIANCE,EQ,1532.35,1528.6,1545.85,1522,1535,1533.9,1535.68,8650831,1.32849E+15,233395,3328773,0.3848
22/01/2020,RELIANCE,EQ,1533.9,1544,1546.75,1531.1,1535.25,1533.35,1538.16,4719245,7.25895E+14,143828,2043807,0.4331
23/01/2020,RELIANCE,EQ,1533.35,1536.5,1541.95,1520.7,1529.6,1526.85,1528.79,5142088,7.86119E+14,149239,2364600,0.4599
24/01/2020,RELIANCE,EQ,1526.85,1527,1536.35,1518.55,1524.05,1521.55,1525.74,6687633,1.02036E+15,152146,3325568,0.4973
27/01/2020,RELIANCE,EQ,1521.55,1514.9,1524.45,1505,1508,1506.55,1513.43,6120429,9.26282E+14,130826,2671210,0.4364
28/01/2020,RELIANCE,EQ,1506.55,1508.6,1510,1463.6,1473.5,1471.75,1485.82,11215313,1.6664E+15,271852,6064582,0.5407
29/01/2020,RELIANCE,EQ,1471.75,1474.05,1494.4,1464.05,1480,1479.85,1479.34,11313297,1.67362E+15,254760,4513527,0.399
30/01/2020,RELIANCE,EQ,1479.85,1479,1479.7,1440,1443,1443.75,1452.4,10241756,1.48751E+15,231136,4854357,0.474
31/01/2020,RELIANCE,EQ,1443.75,1453,1453.25,1407.2,1410,1411.65,1425.75,15886673,2.26504E+15,330774,8885318,0.5593
01/02/2020,RELIANCE,EQ,1411.65,1405.3,1426.95,1371.1,1372,1383.35,1402.89,11022901,1.54639E+15,243212,3263872,0.2961
03/02/2020,RELIANCE,EQ,1383.35,1369.9,1399.95,1363.05,1386,1385.5,1380.77,14040626,1.93869E+15,370104,6963618,0.496
